name,s,e,c
ACTN4,1349051,1349551,1349301
ACTR10,1129059,1129559,1129309
ACTR1A,892074,892574,892324
ACTR1B,173517,174017,173767
ACTR2,157104,157604,157354
ACTR3,181700,182201,181950;181951;181950
ACTR3B,692811,693311,693061
ACTR3C,691581,692083,691833;691831
ACTR5,1377735,1378235,1377985
ACTR6,1025512,1026012,1025762
ACTR8,272935,273435,273185
ACTRT1,1503871,1504371,1504121
ACTRT3,330720,331220,330970;330970
ACVR1,203742,204243,203993;203992
ACVR1B,1001387,1001888,1001637;1001638
ACVR1C,203619,204119,203869;203869
ACVR2A,198678,199178,198928;198928
ACVR2B,265224,265724,265474
ACVRL1,1001365,1001868,1001615;1001618
ACY1,271985,272485,272235
ACY3,941418,941920,941670;941668
ACYP1,1137491,1137994,1137741;1137744
ACYP2,151548,152048,151798
ADA,1380687,1381187,1380937
ADAD1,406639,407139,406889;406889
ADAD2,1246779,1247279,1247029
ADAL,1175212,1175712,1175462
ADAM10,1182921,1183421,1183171
ADAM11,1271263,1271763,1271513
ADAM12,903981,904481,904231;904231
ADAM15,77262,77762,77512
ADAM17,129224,129724,129474
ADAM18,715874,716374,716124
ADAM19,519068,519568,519318
ADAM2,716000,716500,716250
ADAM20,1135226,1135726,1135476
ADAM21,1135185,1135685,1135435
ADAM22,660364,660864,660614;660614;660614
ADAM23,228031,228531,228281
ADAM28,708228,708728,708478
ADAM29,432908,433429,433158;433179
ADAM30,59970,60470,60220
ADAM32,715635,716135,715885
ADAM33,1360878,1361378,1361128;1361128
ADAM7,708302,708802,708552
ADAM8,907488,907959,907738
ADAMDEC1,708273,708775,708523;708525;708523
ADAMTS1,1404668,1405168,1404918;1404918
ADAMTS10,1333810,1334319,1334069;1334060
ADAMTS12,457513,458013,457763;457763
ADAMTS13,837479,837979,837729
ADAMTS14,876159,876659,876409
ADAMTS15,972870,973370,973120
ADAMTS16,443137,443637,443387
ADAMTS17,1203842,1204342,1204092
ADAMTS18,1243401,1243901,1243651
ADAMTS19,504964,505464,505214
ADAMTS2,529953,530453,530203
ADAMTS20,997187,997687,997437
ADAMTS3,381706,382206,381956
ADAMTS4,80335,80835,80585
ADAMTS5,1404729,1405229,1404979
ADAMTS6,472955,473455,473205;473205
ADAMTS7,1192952,1193452,1193202
ADAMTS8,972860,973360,973110
ADAMTS9,278313,278813,278563
ADAMTSL1,778572,779073,778822;778823
ADAMTSL2,837535,838035,837785
ADAMTSL3,1195562,1196062,1195812
ADAMTSL4,75011,75512,75261;75262
ADAMTSL5,1330238,1330738,1330488;1330488
ADAP1,617063,617580,617330;617325;617313;617316
ADAP2,1264469,1264969,1264719;1264719
ADAR,77041,77551,77301;77291
ADARB1,1413807,1414307,1414057
ADARB2,840832,841332,841082
ADAT1,1242495,1242995,1242745
ADAT2,602906,603410,603160;603156
ADAT3,1330434,1330934,1330684
ADCK1,1138859,1139359,1139109
ADCK2,686769,687269,687019
ADCK3,113314,113814,113564
ADCK4,1350092,1350593,1350343;1350342
ADCK5,768951,769451,769201
ADCY1,639392,639892,639642
ADCY10,83688,84192,83942;83938
ADCY2,444265,444765,444515
ADCY3,136948,137448,137198
ADCY4,1112127,1112628,1112378;1112377
ADCY5,307560,308061,307811;307810
ADCY6,999806,1000306,1000056
ADCY7,1229817,1230327,1230067;1230077
ADCY8,762179,762680,762429;762430
ADCY9,1206750,1207250,1207000
ADCYAP1,1290895,1291395,1291145;1291145
ADCYAP1R1,632129,632629,632379
ADD1,346411,346927,346661;346677;346661;346673;346661
ADD2,159849,160374,160124;160099
ADD3,895825,896326,896076;896076;896075
ADFP,778899,779399,779149
ADGB,604485,604985,604735
ADGRA1,907393,907893,907643
ADGRA2,714980,715480,715230
ADGRA3,356247,356747,356497
ADGRB1,767925,768425,768175
ADGRB2,15865,16365,16115
ADGRB3,565697,566197,565947;565947
ADGRD1,1040934,1041434,1041184;1041184
ADGRE1,1332925,1333425,1333175
ADGRE2,1336925,1337426,1337175;1337176
ADGRE3,1336874,1337374,1337124
ADGRE5,1336727,1337228,1336978;1336977
ADGRF1,554530,555030,554780
ADGRF2,554845,555345,555095
ADGRF3,137647,138161,137911;137897
ADGRF4,554858,555358,555108
ADGRF5,554469,554986,554736;554719
ADGRG1,1233493,1234007,1233748;1233743;1233753;1233748;1233757;1233748
ADGRG2,1449848,1450348,1450098;1450098
ADGRG3,1233518,1234018,1233768
ADGRG5,1233455,1233955,1233705
ADGRG6,602336,602836,602586;602586
ADGRG7,296141,296641,296391
ADGRL1,1336640,1337140,1336890
ADGRL2,40833,41384,41134;41083
ADGRL3,376022,376522,376272
ADGRL4,39487,39987,39737
ADGRV1,485494,485994,485744
ADH1A,395095,395595,395345
ADH1B,395110,395610,395360
ADH1C,395125,395626,395376;395375
ADH4,395021,395521,395271
ADH5,394993,395493,395243
ADH6,395059,395559,395309
ADHFE1,729825,730325,730075
ADIG,1377651,1378151,1377901
ADIPOQ,339257,339757,339507
ADIPOR1,101214,101714,101464
ADIPOR2,976115,976615,976365
ADIRF,884306,884807,884557;884556
ADK,877898,878411,878161;878148;878161
ADM,912874,913374,913124;913124
ADM2,1440084,1440526,1440334
ADNP,1383810,1384320,1384070;1384070;1384060
ADNP2,1329376,1329731,1329626
ADO,872225,872725,872475
ADORA1,101299,101799,101549;101549;101549
ADORA2A,1427036,1427536,1427286
ADORA2B,1257769,1258269,1258019;1258019
ADORA3,55774,56274,56024
ADPGK,1189939,1190439,1190189
ADPRH,305626,306126,305876
ADPRHL1,1099192,1099694,1099444;1099442
ADPRHL2,18028,18528,18278
ADPRM,1255145,1255645,1255395
ADRA1A,709514,710014,709764;709764;709764
ADRA1B,520238,520738,520488
ADRA1D,1361161,1361661,1361411
ADRA2A,896361,896861,896611
ADRA2B,172767,173267,173017
ADRA2C,346873,347373,347123
ADRB2,514670,515170,514920
ADRB3,715065,715565,715315
ADRBK1,941227,941727,941477
ADRBK2,1427605,1428105,1427855
ADSL,1434996,1435496,1435246
ADSS,122058,122558,122308;122308
ADSSL1,1152321,1152821,1152571
ADTRP,536914,537414,537164;537164
AEBP1,638654,639155,638904;638905
AEBP2,985011,985511,985261;985261
AEN,1197983,1198483,1198233
AES,1331013,1331513,1331263;1331263;1331263
AF1Q,75267,75767,75517
AFAP1,348959,349459,349209
AFAP1L1,514892,515392,515142;515142
AFAP1L2,898025,898525,898275;898275
AFF1,388917,389453,389167;389203;389203
AFF2,1514069,1514678,1514319;1514319;1514319;1514428
AFF3,174740,175256,175006;174990
AFF4,506716,507216,506966;506966
AFG3L2,1296631,1297131,1296881
AFM,382162,382662,382412
AFMID,1287936,1288436,1288186
AFP,382139,382639,382389
AFTPH,156752,157252,157002
AGA,434170,434670,434420
AGAP1,242578,243078,242828
AGAP2,1004280,1004782,1004532;1004530
AGAP3,691974,692474,692224;692224;692224
AGAP5,877671,878171,877921
AGAP6,865813,866317,866067;866066;866063
AGAP9,864404,864904,864654
AGBL2,931579,932079,931829
AGBL3,683918,684418,684168
AGBL4,24995,25495,25245
AGBL5,138014,138514,138264
AGER,547101,547601,547351
AGFG1,238545,239045,238795;238795
AGFG2,666651,667151,666901
AGGF1,478730,479230,478980
AGK,687208,687708,687458
AGL,49908,50409,50158;50159;50158;50159
AGMAT,7706,8206,7956
AGMO,624383,624883,624633
AGO1,17925,18425,18175
AGO2,766975,767475,767225
AGO3,17949,18457,18199;18199;18207
AGO4,17887,18387,18137
AGPAT1,547096,547597,547346;547347;547347
AGPAT2,839126,839626,839376
AGPAT3,1413202,1413703,1413452;1413453
AGPAT4,611872,612372,612122
AGPAT5,699435,699936,699685;699686
AGPS,213505,214005,213755
AGR2,625005,625505,625255
AGR3,625043,625543,625293
AGRN,228,728,478
AGRP,1238425,1238925,1238675
AGT,115175,115675,115425
AGTPBP1,813514,814014,813764
AGTR1,320184,320684,320434
AGTR2,1497928,1498428,1498178
AGTRAP,5649,6149,5899
AGXT,245280,245781,245531;245530
AHCTF1,123298,123798,123548
AHCY,1375492,1375996,1375742;1375746
AHCYL1,55014,55524,55264;55274;55274
AHCYL2,681015,681587,681265;681336;681337
AHDC1,13716,14216,13966
AHI1,598934,599434,599184
AHNAK,938867,939368,939118;939117
AHNAK2,1152448,1152948,1152698
AHR,625252,625752,625502
AHRR,440818,441219,440969
AHSA1,1138688,1139188,1138938
AHSA2,155079,155579,155329;155329
AHSP,1220436,1220936,1220686
AICDA,979597,980097,979847
AIDA,111193,111693,111443
AIF1,546816,547316,547066;547066;547066
AIFM1,1504927,1505427,1505177;1505177
AIFM2,875889,876389,876139
AIFM3,1425284,1425785,1425535;1425534
AIM1,584504,585005,584754;584755
AIM1L,13091,13591,13341
AIM2,79274,79774,79524
AIMP1,398607,399107,398857;398857
AIMP2,619607,620107,619857
AIP,941336,941836,941586
AIPL1,1253014,1253514,1253264
AIRE,1413412,1413912,1413662
AJAP1,2108,2608,2358;2358;2358
AJUBA,1111451,1111951,1111701
AK1,834654,835155,834905;834904
AK2,16502,17002,16752
AK3,771706,772206,771956;771956;771956
AK4,32557,33057,32807;32807;32807
AK5,38624,39125,38874;38875
AK7,1148155,1148655,1148405
AK8,837212,837713,837462;837463
AK9,586023,586531,586281;586273
AKAP1,1277426,1277926,1277676;1277676
AKAP10,1259785,1260285,1260035
AKAP11,1063564,1064064,1063814
AKAP12,606805,607348,607098;607055;607055
AKAP13,1196380,1196880,1196630
AKAP14,1499792,1500293,1500043;1500042
AKAP17A,1441133,1519244,1518994;1441383
AKAP2,825741,826280,825991;826029;826030
AKAP3,977592,978094,977844;977842
AKAP4,1465260,1465760,1465510;1465510
AKAP5,1132192,1132692,1132442
AKAP6,1116125,1116643,1116375;1116393
AKAP7,596753,597310,597003;597060;597060
AKAP8,1337227,1337727,1337477
AKAP9,662368,662868,662618
AKIP1,912177,912677,912427;912427
AKIRIN1,19479,19979,19729
AKIRIN2,575230,575730,575480;575480
AKNA,827911,828414,828161;828164
AKNAD1,54450,54950,54700
AKR1A1,22759,23259,23009;23009;23009
AKR1B1,683654,684154,683904
AKR1B10,683689,684189,683939
AKR1B15,683699,684202,683949;683952
AKR1C3,842488,843011,842738;842761;842760
AKR1C4,842562,843062,842812
AKR1D1,685463,685963,685713
AKR1E2,842377,842877,842627
AKR7A2,9570,10070,9820
AKR7A3,9558,10058,9808
AKT1,1152356,1152857,1152607;1152606
AKT1S1,1354671,1355172,1354921;1354922;1354922;1354921;1354922
AKT2,1349877,1350377,1350127
AKT3,121754,122254,122004
AKTIP,1231435,1231935,1231685;1231685
AL365273.1,888745,889245,888995
ALAD,827417,827917,827667
ALAS1,272093,272593,272343
ALAS2,1467806,1468306,1468056
ALB,382123,382623,382373
ALCAM,298519,299020,298769;298770
ALDH16A1,1354460,1354960,1354710
ALDH18A1,888651,889151,888901
ALDH1A1,807119,807619,807369
ALDH1A2,1182554,1183080,1182830;1182829;1182830;1182804;1182828
ALDH1A3,1204110,1204610,1204360
ALDH1B1,788532,789032,788782
ALDH1L1,308926,309427,309176;309176;309177
ALDH1L2,1027954,1028454,1028204
ALDH2,1031317,1031817,1031567;1031567
ALDH3A1,1259669,1260170,1259919;1259919;1259920
ALDH3A2,1259621,1260121,1259871
ALDH3B1,941599,942099,941849
ALDH3B2,941430,941930,941680
ALDH4A1,9359,9865,9615;9615;9609
ALDH5A1,543272,543772,543522;543522
ALDH6A1,1137001,1137501,1137251
ALDH7A1,503532,504032,503782
ALDH8A1,598660,599160,598910
ALDH9A1,82584,83084,82834
ALDOA,1219699,1220205,1219955;1219954;1219949;1219955;1219954
ALDOB,821435,821935,821685
ALDOC,1263296,1263796,1263546
ALG10,992302,992802,992552;992552
ALG10B,994570,995070,994820
ALG11,1068434,1068934,1068684
ALG12,1439780,1440281,1440031;1440030
ALG13,1495740,1496240,1495990;1495990;1495990
ALG14,47520,48020,47770
ALG1L,308803,309304,309054;309053
ALG1L2,310877,311377,311127
ALG2,820328,820828,820578
ALG3,337960,338460,338210;338210
ALG5,1060927,1061427,1061177
ALG6,31667,32167,31917
ALG8,946636,947136,946886
ALG9,963582,964082,963832
ALK,139448,139949,139699;139698
ALKBH1,1138813,1139313,1139063
ALKBH2,1029980,1030480,1030230
ALKBH3,929662,930162,929912
ALKBH4,667635,668135,667885
ALKBH5,1258888,1259388,1259138
ALKBH6,1347734,1348234,1347984
ALKBH7,1332668,1333168,1332918
ALKBH8,961429,961929,961679
ALLC,126229,126729,126479
ALMS1,161183,161683,161433
ALOX12,1253294,1253794,1253544
ALOX12B,1253840,1254340,1254090
ALOX15,1252117,1252617,1252367
ALOX15B,1253816,1254316,1254066
ALOX5,862877,863377,863127
ALOX5AP,1057784,1058295,1058045;1058034
ALOXE3,1253855,1254356,1254105;1254106
ALP,438217,438717,438467
ALPI,241037,241537,241287
ALPK1,401598,402134,401848;401884
ALPK2,1318583,1319091,1318841;1318833
ALPL,10668,11168,10918
ALPPL2,241012,241512,241262
ALS2,225695,226199,225949;225945;225949
ALS2CL,269336,269844,269594;269586
ALS2CR11,225618,226118,225868
ALS2CR12,225488,225988,225738
ALX1,1018051,1018551,1018301
ALX3,55057,55557,55307
ALX4,929876,930376,930126
ALYREF,1289769,1290269,1290019
AMACR,457571,458071,457821
AMBN,380717,381217,380967
AMBP,827756,828256,828006
AMBRA1,931010,931518,931268;931260;931267
AMD1,586592,587122,586842;586872
AMDHD1,1023383,1023883,1023633
AMDHD2,1205952,1206452,1206202
AMELX,1445933,1446433,1446183
AMER1,1471986,1472490,1472240;1472236
AMER2,1055014,1055514,1055264
AMER3,190133,190633,190383;190383
AMFR,1232896,1233396,1233146
AMH,1330606,1331106,1330856
AMHR2,1002123,1002623,1002373
AMICA1,966752,967258,967008;967003;967002
AMIGO1,54777,55277,55027
AMIGO2,998951,999451,999201
AMIGO3,270855,271355,271105
AMMECR1,1495058,1495619,1495308;1495369
AMMECR1L,188698,189198,188948;188948
AMN,1151420,1151920,1151670
AMN1,991149,991656,991405;991399;991406
AMOT,1496311,1496820,1496570;1496569;1496561
AMOTL1,954961,955461,955211
AMOTL2,313023,313524,313273;313273;313274
AMPD1,57370,57870,57620
AMPD2,54832,55334,55082;55082;55084
AMPD3,912946,913452,913199;913197;913199;913199;913196;913202
AMPH,635918,636418,636168
AMT,270706,271207,270956;270957
AMTN,380681,381181,380931
AMY1A,51850,52350,52100;52100
AMY1B,51870,52370,52120;52120
AMY1C,51897,52397,52147
AMY2B,51799,52307,52057;52049
AMZ1,617942,618450,618196;618200;618192
AMZ2,1282966,1283467,1283217;1283216
ANAPC1,180697,181197,180947
ANAPC10,417998,418498,418248;418248
ANAPC11,1289769,1290269,1290019;1290019;1290019
ANAPC13,313079,313579,313329;313329
ANAPC15,943622,944122,943872;943872;943872
ANAPC16,876930,877430,877180
ANAPC2,839377,839877,839627
ANAPC4,357678,358178,357928
ANAPC5,1036107,1036610,1036360;1036357
ANAPC7,1030635,1031135,1030885
ANG,1110302,1110804,1110552;1110554
ANGEL1,1138365,1138865,1138615
ANGEL2,106345,106845,106595;106595
ANGPT1,750408,750908,750658
ANGPT2,699363,699863,699613;699613;699613
ANGPT4,1359495,1359995,1359745
ANGPTL1,89170,89671,89421;89420
ANGPTL2,834278,834778,834528
ANGPTL3,31282,31782,31532
ANGPTL4,1333696,1334196,1333946
ANGPTL5,958604,959104,958854
ANGPTL6,1334587,1335088,1334838;1334837
ANGPTL7,5375,5875,5625
ANHX,1042121,1042390,1042371
ANK1,716914,717530,717230;717164;717280
ANK2,401858,402474,402108;402224;402124
ANK3,870893,871689,871439;871143;871359;871267;871143
ANKDD1A,1186003,1186503,1186253
ANKDD1B,478020,478520,478270
ANKEF1,1364054,1364554,1364304
ANKFN1,1276960,1277460,1277210
ANKFY1,1251928,1252428,1252178;1252178
ANKH,448002,448502,448252;448252
ANKHD1,510457,510957,510707
ANKIB1,662520,663020,662770
ANKK1,964340,964840,964590
ANKLE1,1338178,1338678,1338428;1338428
ANKLE2,1041884,1042384,1042134
ANKMY1,245125,245625,245375
ANKMY2,624925,625425,625175
ANKRA2,476997,477497,477247;477247
ANKRD1,886283,886783,886533
ANKRD10,1097924,1098424,1098174
ANKRD11,1249360,1249945,1249695;1249695;1249610
ANKRD12,1295011,1295511,1295261;1295261;1295261
ANKRD13A,1030433,1030933,1030683
ANKRD13B,1263805,1264305,1264055
ANKRD13C,35161,35661,35411
ANKRD13D,941239,941739,941489
ANKRD16,842908,843408,843158
ANKRD17,382033,382551,382301;382283
ANKRD18A,788646,789146,788896
ANKRD18B,786098,786598,786348
ANKRD2,889609,890109,889859
ANKRD20A1,803299,803799,803549
ANKRD20A2,790520,791020,790770
ANKRD20A4,804026,804526,804276
ANKRD22,885248,885748,885498
ANKRD23,173131,173631,173381
ANKRD24,1331574,1332074,1331824
ANKRD26,853637,854137,853887
ANKRD27,1346065,1346565,1346315
ANKRD28,253876,254427,254177;254140;254146;254126
ANKRD29,1301064,1301564,1301314
ANKRD30A,858650,859150,858900
ANKRD30B,1297817,1298317,1298067
ANKRD31,477833,478333,478083
ANKRD33,1001355,1001855,1001605
ANKRD33B,445849,446349,446099
ANKRD34A,72486,72987,72736;72737
ANKRD34B,480500,481000,480750;480750
ANKRD35,72525,73025,72775
ANKRD36,173266,173766,173516
ANKRD36B,173480,173980,173730
ANKRD37,438147,438647,438397
ANKRD39,173138,173638,173388
ANKRD40,1274237,1274737,1274487
ANKRD42,949163,949663,949413;949413;949413;949413;949413
ANKRD44,223464,223964,223714
ANKRD45,86570,87070,86820
ANKRD46,746938,747438,747188
ANKRD49,954824,955324,955074
ANKRD50,407805,408305,408055
ANKRD52,1003541,1004041,1003791
ANKRD53,159979,160479,160229;160229
ANKRD54,1433745,1434245,1433995
ANKRD55,468331,468831,468581
ANKRD6,576096,576663,576346;576346;576413
ANKRD60,1387448,1387948,1387698
ANKRD61,619618,620118,619868
ANKRD62,1296489,1296989,1296739
ANKRD65,429,929,679
ANKRD66,554382,554882,554632
ANKRD7,675515,676015,675765
ANKRD9,1151214,1151714,1151464
ANKS1A,548453,548953,548703
ANKS1B,1024859,1025904,1025239;1025109;1025109;1025239;1025654;1025239
ANKS3,1207059,1207559,1207309;1207309
ANKS4B,1215289,1215789,1215539
ANKS6,820115,820615,820365
ANKUB1,320732,321232,320982;320982
ANKZF1,234424,234924,234674
ANLN,634797,635297,635047;635047
ANO1,942673,943173,942923;942923
ANO10,267808,268308,268058
ANO3,920887,921387,921137
ANO4,1025809,1026345,1026059;1026095
ANO5,918818,919318,919068
ANO6,998019,998558,998269;998308
ANO8,1338204,1338704,1338454
ANO9,907961,908431,908181
ANOS1,1444628,1445128,1444878
ANP32A,1187957,1188457,1188207
ANP32B,819708,820208,819958
ANP32D,999648,1000148,999898
ANP32E,74853,75355,75105;75104;75103;75105
ANPEP,1198575,1199080,1198830;1198825
ANTXR1,158997,159497,159247;159247
ANTXR2,385485,385986,385736;385736;385735;385735
ANTXRL,863772,864272,864022
ANXA1,807219,807719,807469
ANXA10,429495,429995,429745
ANXA11,880909,881425,881173;881159;881175
ANXA13,758527,759027,758777
ANXA2,1183742,1184246,1183992;1183996
ANXA2R,462087,462587,462337
ANXA3,384725,385225,384975
ANXA4,159361,159861,159611
ANXA5,406298,406798,406548
ANXA6,515827,516335,516085;516077
ANXA7,877529,878029,877779;877779
ANXA8,864070,864570,864320;864320
ANXA8L1,863816,864316,864066
ANXA9,75228,75728,75478;75478
AOAH,634964,635464,635214
AOC1,691857,692358,692107;692108
AOC2,1270343,1270843,1270593
AOC3,1270346,1270848,1270596;1270597;1270598
AOX1,225102,225602,225352
AP1AR,401565,402065,401815
AP1B1,1429517,1430017,1429767
AP1G1,1240588,1241088,1240838
AP1G2,1111744,1112244,1111994;1111994;1111994
AP1M1,1337636,1338136,1337886;1337886
AP1M2,1334830,1335331,1335080;1335081
AP1S1,666981,667481,667231
AP1S2,1448214,1448714,1448464
AP1S3,236728,237228,236978
AP2A1,1354617,1355117,1354867;1354867
AP2A2,908173,908673,908423
AP2B1,1266802,1267302,1267052
AP2M1,337923,338424,338173;338174
AP2S1,1353158,1353659,1353409;1353408
AP3B1,479354,479862,479612;479604
AP3B2,1195090,1195590,1195340
AP3D1,1330557,1331057,1330807
AP3M1,877898,878398,878148;878148
AP3M2,717158,717658,717408
AP3S1,498155,498655,498405
AP3S2,1198619,1199119,1198869;1198869
AP4B1,56974,57474,57224;57224
AP4E1,1179001,1179501,1179251
